1088622253	20230309	202303	2023	2023.1890	BGR	SOFIA	BGR								MIL	ARMY						MIL			1	032	032	03	1	4.5	2	1	2	0.82191780821917	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	1	Russia	RS	RS		60	100	RS	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20230310091500	https://www.novinite.com/articles/219181/Zakharova:+It+is+Barbaric+to+Damage+the+Monument+of+the+Soviet+Army+in+Sofia
1088622254	20230309	202303	2023	2023.1890	BGR	SOFIA	BGR								RUSMIL	RUSSIA	RUS					MIL			1	032	032	03	1	4.5	1	1	1	0.82191780821917	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20230310091500	https://www.novinite.com/articles/219181/Zakharova:+It+is+Barbaric+to+Damage+the+Monument+of+the+Soviet+Army+in+Sofia
1088622255	20230309	202303	2023	2023.1890	BGR	BULGARIA	BGR								RUSMIL	RUSSIA	RUS					MIL			1	032	032	03	1	4.5	5	1	5	0.82191780821917	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	1	Russia	RS	RS		60	100	RS	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20230310091500	https://www.novinite.com/articles/219181/Zakharova:+It+is+Barbaric+to+Damage+the+Monument+of+the+Soviet+Army+in+Sofia
1088622256	20230309	202303	2023	2023.1890	GOVHLH	MINIST OF PUBLIC HEALTH						GOV	HLH												1	040	040	04	1	1.0	7	1	7	-3.79008746355686	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	0								4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20230310091500	https://thethaiger.com/hot-news/crime/thai-woman-suffers-for-6-years-after-surgeon-leaves-drill-bit-inside-her-leg
1088622257	20230309	202303	2023	2023.1890	THA	THAILAND	THA								GOVHLH	MINIST OF PUBLIC HEALTH						GOV	HLH		1	040	040	04	1	1.0	3	1	3	-3.79008746355686	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20230310091500	https://thethaiger.com/hot-news/crime/thai-woman-suffers-for-6-years-after-surgeon-leaves-drill-bit-inside-her-leg
1088622258	20230310	202303	2023	2023.1918											ARE	UNITED ARAB EMIRATES	ARE								1	042	042	04	1	1.9	4	1	4	4.74934036939314	0								4	Al Quoz, Dubayy, United Arab Emirates	AE	AE03	28575	25.1689	55.2535	384107	4	Al Quoz, Dubayy, United Arab Emirates	AE	AE03	28575	25.1689	55.2535	384107	20230310091500	https://www.khaleejtimes.com/business/al-ghurair-properties-to-showcase-its-prime-commercial-properties
1088622259	20230310	202303	2023	2023.1918											AUS	SYDNEY	AUS								0	045	045	04	1	5.0	2	1	2	-1.21317157712305	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20230310091500	https://www.smh.com.au/politics/federal/the-defining-story-of-the-next-decade-emerges-20230310-p5cr02.html
1088622260	20230310	202303	2023	2023.1918											BGR	SOFIA	BGR								0	036	036	03	1	4.0	1	1	1	2.18978102189781	0								4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20230310091500	https://armenpress.am/eng/news/1105980/
1088622261	20230310	202303	2023	2023.1918											BGR	SOFIA	BGR								0	036	036	03	1	4.0	1	1	1	2.18978102189781	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20230310091500	https://armenpress.am/eng/news/1105980/
1088622262	20230310	202303	2023	2023.1918											BUS	COMPANY						BUS			0	046	046	04	1	7.0	6	1	6	1.15403913697943	0								1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20230310091500	https://www.asianinvestor.net:443/article/weekly-roundup-of-people-news-march-10/483520
